origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.01,1733.0749085269538
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.01,1683.4017788451583
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.01,1634.373939825878
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.01,1593.5763663549385
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.01,1567.0001646130086
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.01,1545.5189878692308
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.025,1742.3759432071508
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.025,1692.702315835065
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.025,1645.4424345691823
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.025,1612.836884808676
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.025,1584.224156892832
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.025,1564.399414895841
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.05,1749.217147911621
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.05,1704.4190300507366
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.05,1662.5567354279929
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.05,1629.027489322455
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.05,1601.521586194136
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.05,1590.2557756946942
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.1,1759.8836721877306
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.1,1716.8799633283045
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.1,1677.1129411145216
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.1,1650.9037670094044
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.1,1631.4428537145943
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.1,1618.4008568866277
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.15,1767.6994724165754
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.15,1725.572331240107
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.15,1688.8717621512242
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.15,1664.9246662598644
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.15,1646.047553503418
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.15,1636.2733826847166
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.2,1779.460748132548
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.2,1732.9958129273818
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.2,1698.9490264161177
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.2,1674.580606923727
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.2,1661.2129058747512
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.2,1651.542102537245
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.25,1789.7781108814263
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.25,1740.067182292068
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.25,1708.418728111732
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.25,1687.270373783375
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.25,1673.669293666566
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.25,1666.8024754145738
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.3,1797.1977078325249
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.3,1747.4082233652264
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.3,1715.8725042566705
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.3,1696.4416337601465
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.3,1683.8663975029276
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.3,1676.3010577033472
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.35,1804.9120764383204
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.35,1755.5374817254587
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.35,1723.0115794384928
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.35,1703.8549947923666
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.35,1693.380186546132
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.35,1686.8781434517384
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.4,1813.133217666248
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.4,1763.0460416591263
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.4,1731.0205965499
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.4,1712.8670669886342
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.4,1702.295683089451
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.4,1696.407299281149
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.45,1818.1517148367216
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.45,1771.3104160373714
2025-04-16,ILI incidence,2025-04-13,1,AT,quantile,0.45,1740.2254097007583
2025-04-16,ILI incidence,2025-04-20,2,AT,quantile,0.45,1720.801749083414
2025-04-16,ILI incidence,2025-04-27,3,AT,quantile,0.45,1709.7269661608282
2025-04-16,ILI incidence,2025-05-04,4,AT,quantile,0.45,1705.0613945716625
2025-04-16,ILI incidence,2025-03-30,-1,AT,quantile,0.5,1824.8769223257789
2025-04-16,ILI incidence,2025-04-06,0,AT,quantile,0.5,1777.270921885989
