origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.01,127.43350014948096
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.01,104.5392954668949
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.01,82.34210539245844
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.01,62.99745398611753
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.01,49.332220303170025
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.01,40.44290711189409
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.025,133.00522655801092
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.025,106.76722871055614
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.025,83.18565404391661
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.025,66.0032846348725
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.025,49.80393160424883
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.025,43.34401681474329
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.05,140.1584502250632
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.05,108.17257208347152
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.05,85.34175647028927
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.05,67.47827250288651
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.05,54.87938623683591
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.05,47.21235498437161
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.1,145.21606806510562
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.1,109.6058963733788
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.1,86.26808681080517
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.1,69.20907825901742
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.1,59.41735797202502
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.1,53.64930881675296
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.15,149.6183404114705
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.15,112.99910267043091
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.15,89.11014361737594
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.15,70.97704757168606
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.15,62.32349464694609
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.15,55.01854936650188
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.2,155.22870888412913
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.2,114.9760981916502
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.2,91.41811569875044
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.2,75.04530570658078
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.2,64.09222882972446
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.2,56.79420549536251
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.25,160.60432170665504
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.25,116.73328407749368
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.25,94.11883472112524
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.25,78.83440530101679
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.25,67.39037398046275
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.25,60.60033075285175
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.3,161.94523218870708
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.3,119.53384552256703
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.3,95.7003386999332
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.3,81.21672750513166
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.3,70.68391678367037
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.3,63.55586188359131
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.35,163.23418684083776
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.35,122.74876264469032
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.35,97.83542287124044
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.35,82.21393440489052
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.35,72.14258863581964
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.35,66.05910735695007
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.4,168.1267513736911
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.4,125.39038047068922
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.4,98.75645262652516
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.4,83.32168035143954
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.4,74.06170171986756
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.4,69.09362290385157
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.45,170.62754085442046
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.45,128.7002741522695
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.45,99.67171405922112
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.45,84.47091119405856
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.45,75.90138325139984
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.45,71.72548701766861
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.5,173.31833573992256
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.5,130.1993028652006
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.5,103.2381124677172
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.5,86.77211658369765
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.5,76.53519520225706
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.5,73.1128145994556
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.55,176.9267633640367
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.55,134.6594958086016
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.55,106.83527098748893
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.55,87.74394764895975
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.55,79.83485102603977
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.55,74.41108613404414
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.6,184.02570770067075
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.6,135.91104331337718
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.6,107.5389180912846
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.6,89.42980133449025
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.6,82.76017386953805
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.6,77.02800878648152
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.65,186.90804215984392
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.65,139.14300671148314
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.65,108.40029090514275
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.65,93.37877210810424
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.65,85.38666960757459
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.65,81.7974566885175
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.7,188.83087260417105
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.7,140.7473912721872
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.7,110.0166365743235
2025-04-09,ILI incidence,2025-04-13,2,BE,quantile,0.7,96.40491683240003
2025-04-09,ILI incidence,2025-04-20,3,BE,quantile,0.7,89.99374041882827
2025-04-09,ILI incidence,2025-04-27,4,BE,quantile,0.7,84.04191606578128
2025-04-09,ILI incidence,2025-03-23,-1,BE,quantile,0.75,193.325369555322
2025-04-09,ILI incidence,2025-03-30,0,BE,quantile,0.75,143.80552050689676
2025-04-09,ILI incidence,2025-04-06,1,BE,quantile,0.75,114.83927243670296
