origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.01,1005.91
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.01,637.96
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.01,402.78
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.01,271.29
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.025,1020.12
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.025,680.29
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.025,452.61
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.025,280.25
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.05,1072.85
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.05,712.55
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.05,465.03
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.05,288.80
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.1,1101.69
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.1,733.92
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.1,480.73
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.1,336.46
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.15,1128.68
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.15,780.33
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.15,542.00
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.15,394.56
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.2,1152.70
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.2,822.13
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.2,589.90
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.2,426.85
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.25,1167.94
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.25,835.01
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.25,605.90
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.25,441.16
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.3,1192.44
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.3,891.06
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.3,623.42
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.3,458.79
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.35,1238.44
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.35,913.27
2024-12-18,ILI incidence,2024-12-29,3,AT,quantile,0.35,657.21
2024-12-18,ILI incidence,2025-01-05,4,AT,quantile,0.35,485.42
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.4,1256.77
