origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.01,14.60
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.01,6.92
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.01,3.02
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.01,1.20
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.025,15.12
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.025,7.36
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.025,3.28
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.025,1.30
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.05,15.60
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.05,7.70
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.05,3.48
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.05,1.44
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.1,16.35
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.1,8.19
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.1,3.78
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.1,1.61
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.15,16.90
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.15,8.64
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.15,4.05
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.15,1.74
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.2,17.37
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.2,9.00
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.2,4.32
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.2,1.89
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.25,17.73
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.25,9.28
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.25,4.53
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.25,2.04
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.3,18.12
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.3,9.60
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.3,4.68
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.3,2.16
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.35,18.50
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.35,9.82
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.35,4.88
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.35,2.24
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.4,18.96
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.4,10.08
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.4,5.04
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.4,2.34
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.45,19.36
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.45,10.32
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.45,5.22
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.45,2.44
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.5,19.80
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.5,10.69
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.5,5.40
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.5,2.58
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.55,20.25
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.55,10.98
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.55,5.61
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.55,2.70
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.6,20.67
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.6,11.25
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.6,5.82
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.6,2.85
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.65,21.06
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.65,11.52
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.65,6.03
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.65,3.00
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.7,21.44
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.7,11.82
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.7,6.24
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.7,3.12
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.75,21.84
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.75,12.18
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.75,6.48
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.75,3.26
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.8,22.24
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.8,12.56
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.8,6.72
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.8,3.40
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.85,22.75
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.85,12.95
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.85,7.00
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.85,3.60
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.9,23.40
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.9,13.50
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.9,7.36
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.9,3.86
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.95,24.20
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.95,14.21
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.95,8.05
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.95,4.32
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.975,24.72
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.975,14.82
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.975,8.70
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.975,4.92
2025-04-30,ILI incidence,2025-04-27,1,BE,quantile,0.99,25.58
2025-04-30,ILI incidence,2025-05-04,2,BE,quantile,0.99,15.96
2025-04-30,ILI incidence,2025-05-11,3,BE,quantile,0.99,9.65
2025-04-30,ILI incidence,2025-05-18,4,BE,quantile,0.99,5.67
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.01,5.60
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.01,2.70
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.01,1.19
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.01,0.45
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.025,5.82
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.025,2.88
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.025,1.26
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.025,0.50
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.05,6.00
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.05,3.00
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.05,1.36
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.05,0.56
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.1,6.18
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.1,3.15
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.1,1.47
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.1,0.63
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.15,6.30
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.15,3.25
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.15,1.53
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.15,0.65
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.2,6.40
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.2,3.33
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.2,1.60
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.2,0.70
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.25,6.50
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.25,3.42
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.25,1.65
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.25,0.72
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.3,6.60
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.3,3.50
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.3,1.71
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.3,0.80
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.35,6.70
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.35,3.60
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.35,1.80
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.35,0.84
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.4,6.79
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.4,3.69
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.4,1.86
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.4,0.88
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.45,6.89
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.45,3.78
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.45,1.95
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.45,0.93
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.5,6.96
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.5,3.87
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.5,2.00
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.5,0.98
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.55,7.08
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.55,3.98
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.55,2.10
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.55,1.04
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.6,7.18
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.6,4.08
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.6,2.17
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.6,1.08
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.65,7.26
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.65,4.18
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.65,2.26
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.65,1.16
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.7,7.35
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.7,4.28
2025-04-30,ILI incidence,2025-05-11,3,CZ,quantile,0.7,2.38
2025-04-30,ILI incidence,2025-05-18,4,CZ,quantile,0.7,1.26
2025-04-30,ILI incidence,2025-04-27,1,CZ,quantile,0.75,7.46
2025-04-30,ILI incidence,2025-05-04,2,CZ,quantile,0.75,4.41
