origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.01,579.7141938297741
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.025,598.7625062030947
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.05,618.0851616028419
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.1,641.2503789419868
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.15,654.7602721004898
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.2,667.5750599049227
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.25,677.4753866425408
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.3,686.7741408671185
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.35,696.1273732770197
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.4,703.6574031214009
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.45,712.3884132119193
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.5,719.8874504124502
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.55,727.4155847556797
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.6,734.5920483816645
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.65,742.2607320121925
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.7,750.7524650827465
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.75,760.3945210190658
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.8,770.4161793471787
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.85,782.1911480205198
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.9,796.0534007857913
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.95,818.2519600107518
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.975,837.7087236334966
2025-04-02,ARI incidence,2025-03-30,1,BE,quantile,0.99,863.3836252191468
2025-04-02,ARI incidence,2025-03-30,1,BE,median,,719.8874504124502
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.01,378.4334766619015
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.025,421.41227127584307
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.05,458.44510585687385
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.1,504.8652085266208
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.15,532.1914504604865
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.2,556.8680893052339
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.25,577.2068451482216
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.3,595.3510479387293
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.35,614.0950725345208
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.4,628.7626709120298
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.45,644.898563726288
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.5,660.1578630831499
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.55,675.1003634581637
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.6,690.6208811773196
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.65,706.2391659552934
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.7,723.2465922384483
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.75,741.4928199103138
2025-04-02,ARI incidence,2025-04-06,2,BE,quantile,0.8,761.6724002067022
