origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.01,1824.3120063443896
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.025,1873.7094781447609
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.05,1910.4272832783397
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.1,1981.5156396260545
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.15,2007.6513993325693
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.2,2017.5814849014519
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.25,2024.3394495127209
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.3,2036.2630443482312
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.35,2043.7970014909959
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.4,2051.8691632353775
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.45,2053.7829467191164
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.5,2064.6478280799874
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.55,2077.1688211042833
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.6,2093.178748451717
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.65,2097.1827591294
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.7,2114.942830148516
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.75,2122.221248267377
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.8,2141.175695980819
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.85,2175.2611125373573
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.9,2215.621202520594
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.95,2229.3747808564535
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.975,2270.611064080102
2024-12-18,ILI incidence,2024-12-01,-1,AT,quantile,0.99,2288.3949838962053
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.01,1879.129136555551
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.025,2037.4655456920866
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.05,2058.3384442850142
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.1,2115.993819679637
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.15,2194.0727692035985
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.2,2223.065392320394
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.25,2240.134257617665
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.3,2292.382943648666
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.35,2336.9385150541675
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.4,2363.603541353805
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.45,2435.2380834296246
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.5,2450.253775200574
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.55,2470.265413245293
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.6,2506.215747042896
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.65,2513.6762217636065
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.7,2582.7435953796357
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.75,2638.0598085584984
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.8,2701.551989999465
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.85,2747.7237942340444
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.9,2886.587076808282
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.95,3005.9385558935014
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.975,3048.098702675933
2024-12-18,ILI incidence,2024-12-08,0,AT,quantile,0.99,3161.3376479572203
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.01,2104.3222413204994
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.025,2122.0040254901583
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.05,2165.925730969664
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.1,2259.6089974978604
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.15,2280.114581401875
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.2,2328.875678330417
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.25,2418.2668868997425
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.3,2479.4411953682456
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.35,2520.7004320049095
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.4,2585.610444400513
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.45,2669.9132854746504
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.5,2757.55964005428
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.55,2824.1467217837535
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.6,2943.41786808831
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.65,2972.544808532373
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.7,3019.334564897578
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.75,3029.4573272901957
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.8,3062.6973274346933
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.85,3133.862772300713
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.9,3280.265226066948
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.95,3732.3495838827994
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.975,3763.1800013176235
2024-12-18,ILI incidence,2024-12-15,1,AT,quantile,0.99,3868.924136873663
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.01,2277.9526954464677
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.025,2323.4521319876517
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.05,2416.2035306176526
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.1,2482.6230447660696
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.15,2541.134389112447
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.2,2630.62756826683
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.25,2664.4123518224314
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.3,2743.6115278840007
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.35,2768.524404431153
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.4,2902.8146104067814
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.45,2941.035158679288
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.5,3012.2934251267707
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.55,3144.607448090519
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.6,3262.2925894036775
2024-12-18,ILI incidence,2024-12-22,2,AT,quantile,0.65,3324.139314500495
