origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.01,1394.8487213767887
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.01,1394.8487213767887
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.01,1394.8487213767887
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.01,1394.8487213767887
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.01,1394.8487213767887
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.01,1394.8487213767887
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.025,1413.2408571267836
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.025,1413.2408571267836
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.025,1413.2408571267836
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.025,1413.2408571267836
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.025,1413.2408571267836
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.025,1413.2408571267836
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.05,1448.7357444559814
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.05,1448.7357444559814
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.05,1448.7357444559814
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.05,1448.7357444559814
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.05,1448.7357444559814
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.05,1448.7357444559814
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.1,1504.8423475732857
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.1,1504.8423475732857
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.1,1504.8423475732857
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.1,1504.8423475732857
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.1,1504.8423475732857
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.1,1504.8423475732857
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.15,1525.3758313297144
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.15,1525.3758313297144
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.15,1525.3758313297144
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.15,1525.3758313297144
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.15,1525.3758313297144
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.15,1525.3758313297144
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.2,1565.1428827981997
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.2,1565.1428827981997
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.2,1565.1428827981997
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.2,1565.1428827981997
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.2,1565.1428827981997
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.2,1565.1428827981997
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.25,1601.3178238900684
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.25,1601.3178238900684
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.25,1601.3178238900684
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.25,1601.3178238900684
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.25,1601.3178238900684
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.25,1601.3178238900684
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.3,1621.8482000910176
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.3,1621.8482000910176
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.3,1621.8482000910176
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.3,1621.8482000910176
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.3,1621.8482000910176
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.3,1621.8482000910176
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.35,1640.526862927611
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.35,1640.526862927611
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.35,1640.526862927611
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.35,1640.526862927611
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.35,1640.526862927611
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.35,1640.526862927611
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.4,1686.8418986612246
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.4,1686.8418986612246
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.4,1686.8418986612246
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.4,1686.8418986612246
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.4,1686.8418986612246
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.4,1686.8418986612246
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.45,1721.1052032990854
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.45,1721.1052032990854
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.45,1721.1052032990854
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.45,1721.1052032990854
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.45,1721.1052032990854
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.45,1721.1052032990854
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.5,1748.750363171272
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.5,1748.750363171272
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.5,1748.750363171272
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.5,1748.750363171272
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.5,1748.750363171272
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.5,1748.750363171272
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.55,1770.390957092042
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.55,1770.390957092042
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.55,1770.390957092042
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.55,1770.390957092042
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.55,1770.390957092042
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.55,1770.390957092042
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.6,1800.306090780754
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.6,1800.306090780754
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.6,1800.306090780754
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.6,1800.306090780754
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.6,1800.306090780754
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.6,1800.306090780754
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.65,1825.0102493917052
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.65,1825.0102493917052
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.65,1825.0102493917052
2025-05-21,ILI incidence,2025-05-25,2,AT,quantile,0.65,1825.0102493917052
2025-05-21,ILI incidence,2025-06-01,3,AT,quantile,0.65,1825.0102493917052
2025-05-21,ILI incidence,2025-06-08,4,AT,quantile,0.65,1825.0102493917052
2025-05-21,ILI incidence,2025-05-04,-1,AT,quantile,0.7,1846.4099643693148
2025-05-21,ILI incidence,2025-05-11,0,AT,quantile,0.7,1846.4099643693148
2025-05-21,ILI incidence,2025-05-18,1,AT,quantile,0.7,1846.4099643693148
