target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,BE,2025-07-16,2025-07-13,0.01,1,quantile,0
ILI incidence,BE,2025-07-16,2025-07-13,0.025,1,quantile,0
ILI incidence,BE,2025-07-16,2025-07-13,0.05,1,quantile,0
ILI incidence,BE,2025-07-16,2025-07-13,0.1,1,quantile,0
ILI incidence,BE,2025-07-16,2025-07-13,0.15,1,quantile,0
ILI incidence,BE,2025-07-16,2025-07-13,0.2,1,quantile,3.55192902789823
ILI incidence,BE,2025-07-16,2025-07-13,0.25,1,quantile,6.32981919360106
ILI incidence,BE,2025-07-16,2025-07-13,0.3,1,quantile,8.67544592167386
ILI incidence,BE,2025-07-16,2025-07-13,0.35,1,quantile,11.1785522004833
ILI incidence,BE,2025-07-16,2025-07-13,0.4,1,quantile,14.1941077277917
ILI incidence,BE,2025-07-16,2025-07-13,0.45,1,quantile,16.5467084373978
ILI incidence,BE,2025-07-16,2025-07-13,0.5,1,quantile,19.6112394699884
ILI incidence,BE,2025-07-16,2025-07-13,0.55,1,quantile,22.3009895938913
ILI incidence,BE,2025-07-16,2025-07-13,0.6,1,quantile,25.8381359070672
ILI incidence,BE,2025-07-16,2025-07-13,0.65,1,quantile,29.0030466700376
ILI incidence,BE,2025-07-16,2025-07-13,0.7,1,quantile,32.8646211582956
ILI incidence,BE,2025-07-16,2025-07-13,0.75,1,quantile,36.4412654476781
ILI incidence,BE,2025-07-16,2025-07-13,0.8,1,quantile,40.8253429594767
ILI incidence,BE,2025-07-16,2025-07-13,0.85,1,quantile,46.6357518657797
ILI incidence,BE,2025-07-16,2025-07-13,0.9,1,quantile,55.2312605453242
ILI incidence,BE,2025-07-16,2025-07-13,0.95,1,quantile,69.8958934223912
ILI incidence,BE,2025-07-16,2025-07-13,0.975,1,quantile,84.9330340645072
ILI incidence,BE,2025-07-16,2025-07-13,0.99,1,quantile,114.602260747936
ILI incidence,BE,2025-07-16,2025-07-20,0.01,2,quantile,0
ILI incidence,BE,2025-07-16,2025-07-20,0.025,2,quantile,0
ILI incidence,BE,2025-07-16,2025-07-20,0.05,2,quantile,0
ILI incidence,BE,2025-07-16,2025-07-20,0.1,2,quantile,0
ILI incidence,BE,2025-07-16,2025-07-20,0.15,2,quantile,0
ILI incidence,BE,2025-07-16,2025-07-20,0.2,2,quantile,0
ILI incidence,BE,2025-07-16,2025-07-20,0.25,2,quantile,1.81396625629054
ILI incidence,BE,2025-07-16,2025-07-20,0.3,2,quantile,5.74175092034619
ILI incidence,BE,2025-07-16,2025-07-20,0.35,2,quantile,9.43487124422794
ILI incidence,BE,2025-07-16,2025-07-20,0.4,2,quantile,13.0817517040278
ILI incidence,BE,2025-07-16,2025-07-20,0.45,2,quantile,16.4241071791002
ILI incidence,BE,2025-07-16,2025-07-20,0.5,2,quantile,20.1928287386207
ILI incidence,BE,2025-07-16,2025-07-20,0.55,2,quantile,25.2613257799427
ILI incidence,BE,2025-07-16,2025-07-20,0.6,2,quantile,29.0390974177249
ILI incidence,BE,2025-07-16,2025-07-20,0.65,2,quantile,35.3039374966284
ILI incidence,BE,2025-07-16,2025-07-20,0.7,2,quantile,40.9483595793163
ILI incidence,BE,2025-07-16,2025-07-20,0.75,2,quantile,48.4038193429029
ILI incidence,BE,2025-07-16,2025-07-20,0.8,2,quantile,59.8810689076829
ILI incidence,BE,2025-07-16,2025-07-20,0.85,2,quantile,69.7446111473895
ILI incidence,BE,2025-07-16,2025-07-20,0.9,2,quantile,86.4658136947698
ILI incidence,BE,2025-07-16,2025-07-20,0.95,2,quantile,128.925097631605
ILI incidence,BE,2025-07-16,2025-07-20,0.975,2,quantile,161.685015575833
ILI incidence,BE,2025-07-16,2025-07-20,0.99,2,quantile,198.594557501867
ILI incidence,BE,2025-07-16,2025-07-27,0.01,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.025,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.05,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.1,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.15,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.2,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.25,3,quantile,0
ILI incidence,BE,2025-07-16,2025-07-27,0.3,3,quantile,2.28250715492891
ILI incidence,BE,2025-07-16,2025-07-27,0.35,3,quantile,7.63869673875242
ILI incidence,BE,2025-07-16,2025-07-27,0.4,3,quantile,11.4074652488308
ILI incidence,BE,2025-07-16,2025-07-27,0.45,3,quantile,16.002004617644
ILI incidence,BE,2025-07-16,2025-07-27,0.5,3,quantile,21.2010203579871
ILI incidence,BE,2025-07-16,2025-07-27,0.55,3,quantile,28.0478269565215
ILI incidence,BE,2025-07-16,2025-07-27,0.6,3,quantile,35.5452199736485
ILI incidence,BE,2025-07-16,2025-07-27,0.65,3,quantile,42.461195586131
