target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2025-01-01,2024-12-29,0.01,1,quantile,989.184268734799
ILI incidence,AT,2025-01-01,2024-12-29,0.025,1,quantile,1104.24101951687
ILI incidence,AT,2025-01-01,2024-12-29,0.05,1,quantile,1260.20830768692
ILI incidence,AT,2025-01-01,2024-12-29,0.1,1,quantile,1423.42481040687
ILI incidence,AT,2025-01-01,2024-12-29,0.15,1,quantile,1569.20881280822
ILI incidence,AT,2025-01-01,2024-12-29,0.2,1,quantile,1633.32254218041
ILI incidence,AT,2025-01-01,2024-12-29,0.25,1,quantile,1748.06964064901
ILI incidence,AT,2025-01-01,2024-12-29,0.3,1,quantile,1814.77899274806
ILI incidence,AT,2025-01-01,2024-12-29,0.35,1,quantile,1879.60096418883
ILI incidence,AT,2025-01-01,2024-12-29,0.4,1,quantile,1953.43828267468
ILI incidence,AT,2025-01-01,2024-12-29,0.45,1,quantile,2040.34992022074
ILI incidence,AT,2025-01-01,2024-12-29,0.5,1,quantile,2108.3727962455
ILI incidence,AT,2025-01-01,2024-12-29,0.55,1,quantile,2189.590614583
ILI incidence,AT,2025-01-01,2024-12-29,0.6,1,quantile,2253.18115148761
ILI incidence,AT,2025-01-01,2024-12-29,0.65,1,quantile,2326.83975660277
ILI incidence,AT,2025-01-01,2024-12-29,0.7,1,quantile,2406.7632813249
ILI incidence,AT,2025-01-01,2024-12-29,0.75,1,quantile,2484.8660291795
ILI incidence,AT,2025-01-01,2024-12-29,0.8,1,quantile,2570.81112681199
ILI incidence,AT,2025-01-01,2024-12-29,0.85,1,quantile,2696.95122319927
ILI incidence,AT,2025-01-01,2024-12-29,0.9,1,quantile,2859.8100786238
ILI incidence,AT,2025-01-01,2024-12-29,0.95,1,quantile,3092.27258726796
ILI incidence,AT,2025-01-01,2024-12-29,0.975,1,quantile,3252.52232814817
ILI incidence,AT,2025-01-01,2024-12-29,0.99,1,quantile,3466.10134323361
ILI incidence,AT,2025-01-01,2025-01-05,0.01,2,quantile,871.88881156539
ILI incidence,AT,2025-01-01,2025-01-05,0.025,2,quantile,963.574698295248
ILI incidence,AT,2025-01-01,2025-01-05,0.05,2,quantile,1097.28784332906
ILI incidence,AT,2025-01-01,2025-01-05,0.1,2,quantile,1269.59862045534
ILI incidence,AT,2025-01-01,2025-01-05,0.15,2,quantile,1398.86082731216
ILI incidence,AT,2025-01-01,2025-01-05,0.2,2,quantile,1512.60480421665
ILI incidence,AT,2025-01-01,2025-01-05,0.25,2,quantile,1607.23643364299
ILI incidence,AT,2025-01-01,2025-01-05,0.3,2,quantile,1702.81386860606
ILI incidence,AT,2025-01-01,2025-01-05,0.35,2,quantile,1783.02687969903
ILI incidence,AT,2025-01-01,2025-01-05,0.4,2,quantile,1866.65106768392
ILI incidence,AT,2025-01-01,2025-01-05,0.45,2,quantile,1933.1807371609
ILI incidence,AT,2025-01-01,2025-01-05,0.5,2,quantile,2018.50818980798
ILI incidence,AT,2025-01-01,2025-01-05,0.55,2,quantile,2102.17815328102
ILI incidence,AT,2025-01-01,2025-01-05,0.6,2,quantile,2179.04313378232
ILI incidence,AT,2025-01-01,2025-01-05,0.65,2,quantile,2278.04121702487
ILI incidence,AT,2025-01-01,2025-01-05,0.7,2,quantile,2384.38395825643
ILI incidence,AT,2025-01-01,2025-01-05,0.75,2,quantile,2490.33838894999
ILI incidence,AT,2025-01-01,2025-01-05,0.8,2,quantile,2625.44530189478
ILI incidence,AT,2025-01-01,2025-01-05,0.85,2,quantile,2764.25035482254
ILI incidence,AT,2025-01-01,2025-01-05,0.9,2,quantile,2933.78443226983
ILI incidence,AT,2025-01-01,2025-01-05,0.95,2,quantile,3242.5279360438
ILI incidence,AT,2025-01-01,2025-01-05,0.975,2,quantile,3490.71300028114
ILI incidence,AT,2025-01-01,2025-01-05,0.99,2,quantile,3909.10398047547
ILI incidence,AT,2025-01-01,2025-01-12,0.01,3,quantile,688.915914129635
ILI incidence,AT,2025-01-01,2025-01-12,0.025,3,quantile,839.101396058787
ILI incidence,AT,2025-01-01,2025-01-12,0.05,3,quantile,975.162899917659
ILI incidence,AT,2025-01-01,2025-01-12,0.1,3,quantile,1142.64138221193
ILI incidence,AT,2025-01-01,2025-01-12,0.15,3,quantile,1268.44810679664
ILI incidence,AT,2025-01-01,2025-01-12,0.2,3,quantile,1363.11842567973
ILI incidence,AT,2025-01-01,2025-01-12,0.25,3,quantile,1450.1276884045
ILI incidence,AT,2025-01-01,2025-01-12,0.3,3,quantile,1549.9709529386
ILI incidence,AT,2025-01-01,2025-01-12,0.35,3,quantile,1617.95245125005
ILI incidence,AT,2025-01-01,2025-01-12,0.4,3,quantile,1696.25026251053
