target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2025-03-19,2025-03-16,0.01,1,quantile,1129.04680279388
ILI incidence,AT,2025-03-19,2025-03-16,0.025,1,quantile,1201.27525447907
ILI incidence,AT,2025-03-19,2025-03-16,0.05,1,quantile,1278.5470914402
ILI incidence,AT,2025-03-19,2025-03-16,0.1,1,quantile,1378.74052989804
ILI incidence,AT,2025-03-19,2025-03-16,0.15,1,quantile,1450.96354369296
ILI incidence,AT,2025-03-19,2025-03-16,0.2,1,quantile,1504.05951561761
ILI incidence,AT,2025-03-19,2025-03-16,0.25,1,quantile,1550.48428222665
ILI incidence,AT,2025-03-19,2025-03-16,0.3,1,quantile,1591.69329475468
ILI incidence,AT,2025-03-19,2025-03-16,0.35,1,quantile,1629.47393308955
ILI incidence,AT,2025-03-19,2025-03-16,0.4,1,quantile,1664.42894371947
ILI incidence,AT,2025-03-19,2025-03-16,0.45,1,quantile,1694.89359930333
ILI incidence,AT,2025-03-19,2025-03-16,0.5,1,quantile,1731.34297316053
ILI incidence,AT,2025-03-19,2025-03-16,0.55,1,quantile,1773.93426014117
ILI incidence,AT,2025-03-19,2025-03-16,0.6,1,quantile,1817.41591583506
ILI incidence,AT,2025-03-19,2025-03-16,0.65,1,quantile,1853.29847294254
ILI incidence,AT,2025-03-19,2025-03-16,0.7,1,quantile,1887.97199578763
ILI incidence,AT,2025-03-19,2025-03-16,0.75,1,quantile,1947.9881438073
ILI incidence,AT,2025-03-19,2025-03-16,0.8,1,quantile,2016.63291402384
ILI incidence,AT,2025-03-19,2025-03-16,0.85,1,quantile,2089.18809352519
ILI incidence,AT,2025-03-19,2025-03-16,0.9,1,quantile,2161.43091727321
ILI incidence,AT,2025-03-19,2025-03-16,0.95,1,quantile,2298.44861439972
ILI incidence,AT,2025-03-19,2025-03-16,0.975,1,quantile,2359.30006272569
ILI incidence,AT,2025-03-19,2025-03-16,0.99,1,quantile,2478.17005456169
ILI incidence,AT,2025-03-19,2025-03-23,0.01,2,quantile,735.746715882539
ILI incidence,AT,2025-03-19,2025-03-23,0.025,2,quantile,844.578277113673
ILI incidence,AT,2025-03-19,2025-03-23,0.05,2,quantile,932.226952371532
ILI incidence,AT,2025-03-19,2025-03-23,0.1,2,quantile,1063.50969750362
ILI incidence,AT,2025-03-19,2025-03-23,0.15,2,quantile,1129.66241610102
ILI incidence,AT,2025-03-19,2025-03-23,0.2,2,quantile,1190.35499680202
ILI incidence,AT,2025-03-19,2025-03-23,0.25,2,quantile,1250.10995908117
ILI incidence,AT,2025-03-19,2025-03-23,0.3,2,quantile,1298.98998579812
ILI incidence,AT,2025-03-19,2025-03-23,0.35,2,quantile,1346.86563626101
ILI incidence,AT,2025-03-19,2025-03-23,0.4,2,quantile,1393.12998384439
ILI incidence,AT,2025-03-19,2025-03-23,0.45,2,quantile,1435.51820471312
ILI incidence,AT,2025-03-19,2025-03-23,0.5,2,quantile,1472.4186197334
ILI incidence,AT,2025-03-19,2025-03-23,0.55,2,quantile,1525.68647311315
ILI incidence,AT,2025-03-19,2025-03-23,0.6,2,quantile,1582.27442132165
ILI incidence,AT,2025-03-19,2025-03-23,0.65,2,quantile,1648.48694664849
ILI incidence,AT,2025-03-19,2025-03-23,0.7,2,quantile,1716.39560204648
ILI incidence,AT,2025-03-19,2025-03-23,0.75,2,quantile,1790.77308677218
ILI incidence,AT,2025-03-19,2025-03-23,0.8,2,quantile,1874.50600533204
ILI incidence,AT,2025-03-19,2025-03-23,0.85,2,quantile,1966.95367110824
ILI incidence,AT,2025-03-19,2025-03-23,0.9,2,quantile,2098.66472848876
ILI incidence,AT,2025-03-19,2025-03-23,0.95,2,quantile,2296.7927412429
ILI incidence,AT,2025-03-19,2025-03-23,0.975,2,quantile,2538.84129492875
ILI incidence,AT,2025-03-19,2025-03-23,0.99,2,quantile,2808.39879159981
ILI incidence,AT,2025-03-19,2025-03-30,0.01,3,quantile,504.41379566959
ILI incidence,AT,2025-03-19,2025-03-30,0.025,3,quantile,597.20035111754
ILI incidence,AT,2025-03-19,2025-03-30,0.05,3,quantile,682.474831252719
ILI incidence,AT,2025-03-19,2025-03-30,0.1,3,quantile,798.237849105452
ILI incidence,AT,2025-03-19,2025-03-30,0.15,3,quantile,879.232696080613
ILI incidence,AT,2025-03-19,2025-03-30,0.2,3,quantile,947.937954531089
ILI incidence,AT,2025-03-19,2025-03-30,0.25,3,quantile,998.127969786426
ILI incidence,AT,2025-03-19,2025-03-30,0.3,3,quantile,1051.29384985988
ILI incidence,AT,2025-03-19,2025-03-30,0.35,3,quantile,1108.30979600839
ILI incidence,AT,2025-03-19,2025-03-30,0.4,3,quantile,1161.61969408068
ILI incidence,AT,2025-03-19,2025-03-30,0.45,3,quantile,1216.71320795252
ILI incidence,AT,2025-03-19,2025-03-30,0.5,3,quantile,1268.53955434458
ILI incidence,AT,2025-03-19,2025-03-30,0.55,3,quantile,1349.72361875338
ILI incidence,AT,2025-03-19,2025-03-30,0.6,3,quantile,1409.98667246856
ILI incidence,AT,2025-03-19,2025-03-30,0.65,3,quantile,1477.33074533239
ILI incidence,AT,2025-03-19,2025-03-30,0.7,3,quantile,1555.10742397169
ILI incidence,AT,2025-03-19,2025-03-30,0.75,3,quantile,1649.35594524112
ILI incidence,AT,2025-03-19,2025-03-30,0.8,3,quantile,1751.41012364207
ILI incidence,AT,2025-03-19,2025-03-30,0.85,3,quantile,1860.04490809173
ILI incidence,AT,2025-03-19,2025-03-30,0.9,3,quantile,2043.09306793702
ILI incidence,AT,2025-03-19,2025-03-30,0.95,3,quantile,2335.76273478703
ILI incidence,AT,2025-03-19,2025-03-30,0.975,3,quantile,2553.66586309621
ILI incidence,AT,2025-03-19,2025-03-30,0.99,3,quantile,2855.36731887362
