"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-01-01,1,2024-12-29,0.01,1663.65,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.025,1671.425,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.05,1683.7,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.1,1694.9,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.15,1703.85,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.2,1709.8,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.25,1714,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.3,1719.7,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.35,1725,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.4,1730,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.45,1735.55,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.5,1739.5,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.55,1742.9,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.6,1749.6,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.65,1757.35,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.7,1762.3,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.75,1768.25,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.8,1771.2,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.85,1774.15,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.9,1783.3,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.95,1803.35,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.975,1810.525,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.99,1819.36,"quantile","ILI incidence","AT"
2025-01-01,1,2024-12-29,0.01,179,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.025,183.375,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.05,188.95,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.1,193.9,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.15,197,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.2,199,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.25,202,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.3,204,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.35,205,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.4,207.6,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.45,209,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.5,210,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.55,213.45,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.6,215,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.65,216,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.7,220,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.75,221,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.8,222,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.85,224,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.9,227.3,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.95,236.05,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.975,239.1,"quantile","ILI incidence","BE"
2025-01-01,1,2024-12-29,0.99,242.04,"quantile","ILI incidence","BE"
