"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-01-08,1,2025-01-05,0.01,1438.9,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.025,1446.95,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.05,1459.45,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.1,1465.9,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.15,1472,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.2,1481.8,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.25,1492.75,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.3,1500.8,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.35,1505.65,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.4,1509,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.45,1512,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.5,1520.5,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.55,1523,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.6,1527,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.65,1533.35,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.7,1536.3,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.75,1543.25,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.8,1549,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.85,1559.15,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.9,1571.1,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.95,1580.05,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.975,1589.625,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.99,1604.18,"quantile","ILI incidence","AT"
2025-01-08,1,2025-01-05,0.01,238.94,"quantile","ILI incidence","BE"
