origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.01,2017.775401177708
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.01,2018.61672446055
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.01,2027.6955403956345
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.01,2037.551711252542
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.025,2034.9681547237303
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.025,2037.0667974166952
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.025,2046.710781173116
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.025,2056.8282226672
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.05,2063.0756941331856
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.05,2067.2298629974343
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.05,2077.7978102579355
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.05,2088.3423895407
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.1,2117.48539240777
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.1,2125.618584734225
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.1,2137.97511173276
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.1,2149.346531026855
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.15,2169.8767511026776
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.15,2181.841364151441
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.15,2195.9201231340035
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.15,2208.087710629552
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.2,2220.638926229244
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.2,2236.3158165415543
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.2,2252.0632522631736
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.2,2265.0022499813067
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.25,2270.095275569728
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.25,2289.3889470923978
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.25,2306.7621338685644
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.25,2320.452697754969
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.3,2318.521542419756
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.3,2341.35666442081
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.3,2360.3217409229487
