origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-22,ILI incidence,2025-01-05,-1,AT,quantile,0.01,1907.8371528462262
2025-01-22,ILI incidence,2025-01-12,0,AT,quantile,0.01,1645.0733385203666
2025-01-22,ILI incidence,2025-01-19,1,AT,quantile,0.01,1331.8013789742956
2025-01-22,ILI incidence,2025-01-26,2,AT,quantile,0.01,1052.0654568123505
2025-01-22,ILI incidence,2025-02-02,3,AT,quantile,0.01,807.4760107702642
2025-01-22,ILI incidence,2025-02-09,4,AT,quantile,0.01,600.0328518090132
2025-01-22,ILI incidence,2025-01-05,-1,AT,quantile,0.025,1941.4724773944677
2025-01-22,ILI incidence,2025-01-12,0,AT,quantile,0.025,1724.0431716934654
2025-01-22,ILI incidence,2025-01-19,1,AT,quantile,0.025,1402.0981475151102
2025-01-22,ILI incidence,2025-01-26,2,AT,quantile,0.025,1093.1824196388518
2025-01-22,ILI incidence,2025-02-02,3,AT,quantile,0.025,829.2457457435632
2025-01-22,ILI incidence,2025-02-09,4,AT,quantile,0.025,629.8625596375581
2025-01-22,ILI incidence,2025-01-05,-1,AT,quantile,0.05,2000.4799012608735
2025-01-22,ILI incidence,2025-01-12,0,AT,quantile,0.05,1770.77746636337
2025-01-22,ILI incidence,2025-01-19,1,AT,quantile,0.05,1431.0216319843637
2025-01-22,ILI incidence,2025-01-26,2,AT,quantile,0.05,1124.7520904626979
2025-01-22,ILI incidence,2025-02-02,3,AT,quantile,0.05,865.6801823791976
2025-01-22,ILI incidence,2025-02-09,4,AT,quantile,0.05,652.6121087382684
2025-01-22,ILI incidence,2025-01-05,-1,AT,quantile,0.1,2072.3613799668137
2025-01-22,ILI incidence,2025-01-12,0,AT,quantile,0.1,1822.0404698880757
2025-01-22,ILI incidence,2025-01-19,1,AT,quantile,0.1,1484.4864786324144
2025-01-22,ILI incidence,2025-01-26,2,AT,quantile,0.1,1172.8653329885346
2025-01-22,ILI incidence,2025-02-02,3,AT,quantile,0.1,912.7040753347729
2025-01-22,ILI incidence,2025-02-09,4,AT,quantile,0.1,693.5298048148604
2025-01-22,ILI incidence,2025-01-05,-1,AT,quantile,0.15,2136.3243141713665
2025-01-22,ILI incidence,2025-01-12,0,AT,quantile,0.15,1859.8162051093943
2025-01-22,ILI incidence,2025-01-19,1,AT,quantile,0.15,1564.6013398438063
2025-01-22,ILI incidence,2025-01-26,2,AT,quantile,0.15,1257.2590729893482
2025-01-22,ILI incidence,2025-02-02,3,AT,quantile,0.15,984.6686910132623
2025-01-22,ILI incidence,2025-02-09,4,AT,quantile,0.15,754.2843013633351
2025-01-22,ILI incidence,2025-01-05,-1,AT,quantile,0.2,2195.127716884251
2025-01-22,ILI incidence,2025-01-12,0,AT,quantile,0.2,1911.6636841727156
2025-01-22,ILI incidence,2025-01-19,1,AT,quantile,0.2,1633.900199697596
2025-01-22,ILI incidence,2025-01-26,2,AT,quantile,0.2,1327.463824204789
