origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.01,888.1457614128744
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.025,1027.670161457961
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.05,1165.0585817223491
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.1,1346.3830402342653
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.15,1484.3957414912022
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.2,1604.0977450560604
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.25,1714.4504399260002
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.3,1820.0016387369205
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.35,1923.5994105553414
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.4,2027.3480541651
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.45,2133.0461433652754
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.5,2242.4446423939808
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.55,2357.451282383903
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.6,2480.351192735971
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.65,2614.112441520481
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.7,2762.8876080184455
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.75,2932.948860512326
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.8,3134.6619115494864
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.85,3387.352156196125
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.9,3734.4217124561565
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.95,4315.287313843274
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.975,4891.767431255897
2025-04-09,ILI incidence,2025-04-06,1,AT,quantile,0.99,5659.538554993083
