origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-25,ILI incidence,2024-12-22,1,BE,median,NA,255.21
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.01,16.54
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.025,63.35
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.05,90.56
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.1,125.43
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.15,148.82
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.2,166.51
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.25,186.52
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.3,202.47
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.35,217.78
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.4,228
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.45,241.9
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.5,255.21
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.55,267.51
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.6,283.51
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.65,300.17
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.7,312.07
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.75,323.87
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.8,343.58
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.85,366.64
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.9,386.43
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.95,416.9
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.975,446.56
2024-12-25,ILI incidence,2024-12-22,1,BE,quantile,0.99,481.91
2024-12-25,ILI incidence,2024-12-29,2,BE,median,NA,239.94
2024-12-25,ILI incidence,2024-12-29,2,BE,quantile,0.01,25.67
2024-12-25,ILI incidence,2024-12-29,2,BE,quantile,0.025,41.21
2024-12-25,ILI incidence,2024-12-29,2,BE,quantile,0.05,61.59
2024-12-25,ILI incidence,2024-12-29,2,BE,quantile,0.1,85.66
2024-12-25,ILI incidence,2024-12-29,2,BE,quantile,0.15,119.98
2024-12-25,ILI incidence,2024-12-29,2,BE,quantile,0.2,136.17
