origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-26,ILI incidence,2025-03-23,1,BE,median,NA,203.88
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.01,60.75
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.025,78.96
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.05,107.39
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.1,127.65
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.15,140.66
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.2,153
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.25,163.88
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.3,172.24
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.35,179.66
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.4,189.17
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.45,196.93
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.5,203.88
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.55,212.58
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.6,219.81
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.65,231.61
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.7,243.43
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.75,250.22
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.8,256.16
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.85,265.37
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.9,282.21
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.95,302.76
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.975,319.71
2025-03-26,ILI incidence,2025-03-23,1,BE,quantile,0.99,347.06
2025-03-26,ILI incidence,2025-03-30,2,BE,median,NA,208.62
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.01,20.51
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.025,40.7
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.05,61.84
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.1,92.81
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.15,116.07
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.2,131.67
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.25,147.67
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.3,160.45
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.35,170.68
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.4,184.61
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.45,196.84
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.5,208.62
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.55,219.28
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.6,232.39
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.65,243.31
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.7,257.96
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.75,271.34
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.8,286.55
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.85,301.66
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.9,326.74
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.95,351.59
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.975,378.38
2025-03-26,ILI incidence,2025-03-30,2,BE,quantile,0.99,405.37
2025-03-26,ILI incidence,2025-04-06,3,BE,median,NA,195.75
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.01,0
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.025,15.75
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.05,32.72
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.1,66.51
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.15,92.54
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.2,113.74
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.25,131.08
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.3,143.54
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.35,154.72
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.4,167.31
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.45,181.93
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.5,195.75
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.55,211.91
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.6,230.68
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.65,242.69
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.7,264.32
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.75,280.07
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.8,300.82
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.85,319.96
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.9,349.24
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.95,391.73
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.975,428.96
2025-03-26,ILI incidence,2025-04-06,3,BE,quantile,0.99,503.15
2025-03-26,ILI incidence,2025-04-13,4,BE,median,NA,198.67
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.01,0
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.025,0
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.05,18.16
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.1,50.12
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.15,76.32
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.2,96.79
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.25,117.73
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.3,135.06
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.35,148.85
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.4,166.89
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.45,185.5
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.5,198.67
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.55,210.71
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.6,224.78
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.65,242.97
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.7,261.33
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.75,286.53
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.8,311.14
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.85,333.89
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.9,362.85
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.95,398.61
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.975,466.37
2025-03-26,ILI incidence,2025-04-13,4,BE,quantile,0.99,565.78
2025-03-26,ILI incidence,2025-03-23,1,CZ,median,NA,64.92
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.01,34.35
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.025,38.88
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.05,42.52
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.1,47.72
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.15,50.85
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.2,53.28
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.25,55.03
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.3,57.12
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.35,59.34
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.4,61.24
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.45,62.73
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.5,64.92
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.55,66.33
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.6,68.03
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.65,69.5
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.7,72.09
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.75,74.72
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.8,77.19
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.85,80.66
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.9,84.79
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.95,88.91
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.975,91.88
2025-03-26,ILI incidence,2025-03-23,1,CZ,quantile,0.99,96.56
2025-03-26,ILI incidence,2025-03-30,2,CZ,median,NA,65.61
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.01,30.21
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.025,32.66
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.05,35.42
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.1,39.81
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.15,45.61
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.2,48.21
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.25,52.01
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.3,54.22
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.35,56.43
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.4,58.97
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.45,62.34
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.5,65.61
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.55,69.11
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.6,71.43
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.65,74.65
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.7,77.86
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.75,81.48
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.8,86.82
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.85,91.47
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.9,97.14
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.95,105.31
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.975,110.14
2025-03-26,ILI incidence,2025-03-30,2,CZ,quantile,0.99,115.41
2025-03-26,ILI incidence,2025-04-06,3,CZ,median,NA,64.8
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.01,22.3
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.025,25.94
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.05,29.1
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.1,35.21
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.15,40.28
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.2,43.18
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.25,47.56
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.3,52.09
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.35,55.32
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.4,57.9
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.45,60.77
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.5,64.8
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.55,68.2
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.6,71.64
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.65,76.89
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.7,81.96
2025-03-26,ILI incidence,2025-04-06,3,CZ,quantile,0.75,85.15
