"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.01",726.500275170731
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.025",746.78636480148
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.05",758.651622704902
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.1",773.656028262474
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.15",783.408604434159
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.2",791.968390712177
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.25",798.186964893978
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.3",802.303358245945
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.35",806.646318806761
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.4",810.756858924027
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.45",814.224604988764
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.5",817.123968303156
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.55",819.878978616338
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.6",823.292203248723
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.65",827.184407974
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.7",830.548152291842
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.75",834.120575382234
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.8",837.98335117914
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.85",841.67587472222
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.9",846.970916965563
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.95",852.591013067587
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.975",855.533781881845
2025-04-02,"ARI incidence",2025-03-16,-1,"BE","quantile","0.99",860.006763381938
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.01",846.462189927695
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.025",851.062962034245
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.05",857.470445428763
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.1",866.242246504838
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.15",873.647339860346
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.2",881.88294921052
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.25",889.717217647709
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.3",896.696419941422
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.35",900.429644851232
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.4",905.413590012028
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.45",909.120648923229
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.5",914.31360092117
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.55",918.846682120618
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.6",923.319387520373
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.65",927.331584817454
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.7",931.658483762777
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.75",935.854170723459
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.8",942.122951232277
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.85",946.746689331679
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.9",952.838391834832
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.95",959.882329154471
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.975",966.827056262732
2025-04-02,"ARI incidence",2025-03-16,-1,"BG","quantile","0.99",970.432104142864
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.01",13428.2345422801
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.025",13639.8526902781
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.05",13691.3470332917
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.1",13833.3177844366
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.15",13931.1981317218
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.2",14012.0986812465
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.25",14046.375566999
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.3",14101.5652150969
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.35",14153.7862827462
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.4",14175.4635024541
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.45",14252.089070596
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.5",14310.2490011425
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.55",14348.2731454032
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.6",14452.7215843199
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.65",14522.8639406369
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.7",14602.0548441718
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.75",14680.284138315
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.8",14740.5532819447
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.85",14755.6792026199
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.9",14856.9581732203
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.95",15065.1591804058
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.975",15187.6053530206
2025-04-02,"ARI incidence",2025-03-16,-1,"CY","quantile","0.99",15245.3401269288
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.01",1276.91360790656
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.025",1284.83739651455
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.05",1290.60060370329
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.1",1298.83660518909
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.15",1304.73494110312
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.2",1308.59930704048
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.25",1312.44808499973
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.3",1317.6177432846
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.35",1321.23410075708
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.4",1326.06443180464
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.45",1330.26070743525
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.5",1334.48631601903
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.55",1337.74802080267
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.6",1340.86579825168
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.65",1345.29766681022
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.7",1349.2566955995
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.75",1354.56272029916
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.8",1362.88206648476
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.85",1369.84946500491
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.9",1377.29758470504
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.95",1387.10406666914
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.975",1394.08045842532
2025-04-02,"ARI incidence",2025-03-16,-1,"CZ","quantile","0.99",1399.57432559504
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.01",1493.92982877521
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.025",1514.87680819037
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.05",1533.37915607877
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.1",1552.80180617428
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.15",1568.36740448805
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.2",1588.46687096931
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.25",1604.11593560763
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.3",1618.24797549925
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.35",1628.46495028888
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.4",1644.26017642234
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.45",1658.3659049526
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.5",1671.23363169469
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.55",1684.42266699293
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.6",1700.21599711482
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.65",1714.58015067157
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.7",1723.82822670782
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.75",1740.82152919151
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.8",1759.09603668925
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.85",1776.05947750261
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.9",1796.96503945211
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.95",1827.41536870466
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.975",1849.48892337296
2025-04-02,"ARI incidence",2025-03-16,-1,"DE","quantile","0.99",1870.03332080838
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.01",210.250931946047
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.025",211.33775111458
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.05",212.649621475457
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.1",213.715630531977
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.15",215.171402776971
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.2",215.738660542102
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.25",216.494454880754
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.3",217.147817849833
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.35",217.794059612155
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.4",218.621296411881
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.45",219.59682476615
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.5",220.261496928354
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.55",220.769583121944
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.6",221.485568420322
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.65",222.063348148205
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.7",222.697726953492
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.75",223.431327309262
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.8",223.991849670759
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.85",224.920574799603
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.9",225.979450463416
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.95",227.753010209142
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.975",228.696452069077
2025-04-02,"ARI incidence",2025-03-16,-1,"EE","quantile","0.99",229.511221122553
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.01",476.855911579831
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.025",478.871109605493
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.05",481.457360920194
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.1",484.673849836027
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.15",487.46413221623
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.2",489.866667866194
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.25",491.878741911644
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.3",493.767867824313
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.35",495.718814639379
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.4",497.169248380335
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.45",499.38284689952
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.5",500.864400931813
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.55",502.449611398855
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.6",503.794902261906
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.65",505.35933797622
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.7",506.833572064186
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.75",509.047983873491
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.8",510.751677354981
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.85",512.685755155191
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.9",515.95153733806
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.95",519.151478513671
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.975",521.216792158772
2025-04-02,"ARI incidence",2025-03-16,-1,"ES","quantile","0.99",524.238293208725
2025-04-02,"ARI incidence",2025-03-16,-1,"FI","quantile","0.01",3032.61005369466
2025-04-02,"ARI incidence",2025-03-16,-1,"FI","quantile","0.025",3038.5944031768
2025-04-02,"ARI incidence",2025-03-16,-1,"FI","quantile","0.05",3044.77406611334
