origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.010,0.0
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.025,0.0
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.050,0.0
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.100,0.0
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.150,0.0
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.200,0.0
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.250,40.19999999999936
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.300,425.1500000000002
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.350,773.8499999999997
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.400,1127.7200000000007
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.450,1445.8100000000006
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.500,1753.4999999999998
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.550,2088.5449999999996
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.600,2399.619999999999
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.650,2725.2400000000002
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.700,3078.869999999999
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.750,3436.925
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.800,3844.0200000000023
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.850,4347.865000000001
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.900,5023.01
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.950,6009.804999999999
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.975,6883.884999999998
2025-07-30,ILI incidence,1,2025-07-27,AT,quantile,0.990,7950.337000000004
2025-07-30,ILI incidence,1,2025-07-27,AT,median,,1753.4999999999998
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.010,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.025,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.050,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.100,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.150,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.200,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.250,0.0
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.300,394.0799999999994
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.350,761.5599999999996
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.400,1097.3000000000002
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.450,1438.0800000000008
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.500,1754.1500000000005
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.550,2067.045
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.600,2407.8199999999997
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.650,2744.0700000000006
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.700,3109.1199999999985
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.750,3480.7000000000003
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.800,3946.900000000001
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.850,4462.9349999999995
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.900,5124.239999999999
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.950,6114.704999999995
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.975,7068.402499999999
2025-07-30,ILI incidence,2,2025-08-03,AT,quantile,0.990,8124.707000000001
2025-07-30,ILI incidence,2,2025-08-03,AT,median,,1754.1500000000005
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.010,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.025,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.050,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.100,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.150,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.200,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.250,0.0
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.300,358.9399999999996
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.350,726.5300000000011
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.400,1081.4200000000012
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.450,1442.985
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.500,1764.3500000000001
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.550,2090.3800000000006
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.600,2413.2400000000007
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.650,2764.7999999999993
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.700,3156.31
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.750,3559.2249999999995
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.800,4022.4800000000005
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.850,4545.015
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.900,5242.38
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.950,6252.989999999998
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.975,7199.9874999999965
2025-07-30,ILI incidence,3,2025-08-10,AT,quantile,0.990,8220.687000000004
2025-07-30,ILI incidence,3,2025-08-10,AT,median,,1764.3500000000001
2025-07-30,ILI incidence,4,2025-08-17,AT,quantile,0.010,0.0
2025-07-30,ILI incidence,4,2025-08-17,AT,quantile,0.025,0.0
2025-07-30,ILI incidence,4,2025-08-17,AT,quantile,0.050,0.0
