"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.01",312.729696692209
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.025",325.590844893943
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.05",337.074409850609
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.1",350.81779728222
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.15",360.405588465455
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.2",368.212199393246
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.25",375.044202047399
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.3",381.287518290274
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.35",387.165619732347
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.4",392.827133366401
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.45",398.383498279841
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.5",403.928496520115
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.55",409.550674175743
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.6",415.343586128553
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.65",421.417145493947
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.7",427.913903483166
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.75",435.037335360219
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.8",443.109246705727
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.85",452.707270704929
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.9",465.079683998316
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.95",484.042174466201
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.975",501.114306067625
2025-08-06,"ARI incidence",2025-08-03,1,"BE","quantile","0.99",521.722855318028
2025-08-06,"ARI incidence",2025-08-10,2,"BE","quantile","0.01",270.964926104223
2025-08-06,"ARI incidence",2025-08-10,2,"BE","quantile","0.025",307.23553941642
