origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-08,ARI incidence,2024-12-29,0,BE,median,,1487.178571
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.01,1165.035223
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.025,1215.770599
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.05,1259.405821
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.1,1309.714437
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.15,1343.657421
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.2,1370.634229
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.25,1393.777929
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.3,1414.561686
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.35,1433.820935
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.4,1452.096078
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.45,1469.777491
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.5,1487.178571
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.55,1504.579652
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.6,1522.261065
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.65,1540.536208
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.7,1559.795457
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.75,1580.579214
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.8,1603.722913
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.85,1630.699721
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.9,1664.642706
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.95,1714.951322
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.975,1758.586544
2025-01-08,ARI incidence,2024-12-29,0,BE,quantile,0.99,1809.32192
2025-01-08,ARI incidence,2025-01-05,1,BE,median,,1511.93254
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.01,1142.066491
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.025,1200.317866
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.05,1250.417262
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.1,1308.178656
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.15,1347.149995
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.2,1378.12318
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.25,1404.695414
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.3,1428.558102
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.35,1450.670439
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.4,1471.652884
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.45,1491.953642
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.5,1511.93254
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.55,1531.911437
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.6,1552.212196
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.65,1573.194641
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.7,1595.306977
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.75,1619.169665
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.8,1645.7419
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.85,1676.715084
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.9,1715.686423
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.95,1773.447818
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.975,1823.547214
2025-01-08,ARI incidence,2025-01-05,1,BE,quantile,0.99,1881.798588
2025-01-08,ARI incidence,2025-01-12,2,BE,median,,1580.005952
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.01,1152.869872
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.025,1220.140885
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.05,1277.997668
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.1,1344.702833
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.15,1389.708491
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.2,1425.477561
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.25,1456.164238
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.3,1483.721823
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.35,1509.258032
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.4,1533.489397
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.45,1556.933524
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.5,1580.005952
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.55,1603.078381
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.6,1626.522507
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.65,1650.753873
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.7,1676.290082
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.75,1703.847666
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.8,1734.534344
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.85,1770.303414
2025-01-08,ARI incidence,2025-01-12,2,BE,quantile,0.9,1815.309072
