origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-26,ARI incidence,2025-02-23,1,BE,median,,1219
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.01,939.1636142
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.025,983.2359323
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.05,1021.140557
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.1,1064.842162
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.15,1094.327428
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.2,1117.761382
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.25,1137.865628
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.3,1155.919862
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.35,1172.649801
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.4,1188.524877
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.45,1203.884197
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.5,1219
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.55,1234.115803
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.6,1249.475123
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.65,1265.350199
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.7,1282.080138
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.75,1300.134372
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.8,1320.238618
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.85,1343.672572
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.9,1373.157838
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.95,1416.859443
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.975,1454.764068
2025-02-26,ARI incidence,2025-02-23,1,BE,quantile,0.99,1498.836386
2025-02-26,ARI incidence,2025-03-02,2,BE,median,,1388.410436
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.01,1056.1056
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.025,1108.44134
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.05,1153.452964
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.1,1205.348484
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.15,1240.362145
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.2,1268.189892
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.25,1292.063622
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.3,1313.502969
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.35,1333.369719
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.4,1352.221322
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.45,1370.460466
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.5,1388.410436
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.55,1406.360405
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.6,1424.59955
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.65,1443.451153
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.7,1463.317903
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.75,1484.75725
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.8,1508.630979
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.85,1536.458727
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.9,1571.472388
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.95,1623.367907
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.975,1668.379531
2025-02-26,ARI incidence,2025-03-02,2,BE,quantile,0.99,1720.715272
2025-02-26,ARI incidence,2025-03-09,3,BE,median,,1478.074572
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.01,1081.641631
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.025,1144.077109
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.05,1197.775065
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.1,1259.68537
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.15,1301.455958
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.2,1334.653898
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.25,1363.134774
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.3,1388.711481
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.35,1412.412111
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.4,1434.901692
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.45,1456.660622
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.5,1478.074572
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.55,1499.488522
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.6,1521.247452
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.65,1543.737033
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.7,1567.437663
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.75,1593.01437
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.8,1621.495246
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.85,1654.693186
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.9,1696.463774
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.95,1758.374079
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.975,1812.072035
2025-02-26,ARI incidence,2025-03-09,3,BE,quantile,0.99,1874.507513
2025-02-26,ARI incidence,2025-03-16,4,BE,median,,1546.235401
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.01,1080.965826
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.025,1154.242604
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.05,1217.264676
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.1,1289.925088
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.15,1338.948723
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.2,1377.911154
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.25,1411.337451
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.3,1441.355298
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.35,1469.171308
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.4,1495.56598
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.45,1521.103132
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.5,1546.235401
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.55,1571.36767
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.6,1596.904822
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.65,1623.299494
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.7,1651.115503
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.75,1681.133351
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.8,1714.559648
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.85,1753.522079
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.9,1802.545714
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.95,1875.206126
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.975,1938.228198
2025-02-26,ARI incidence,2025-03-16,4,BE,quantile,0.99,2011.504976
2025-02-26,ARI incidence,2025-02-23,1,BG,median,,1641.142857
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.01,361.2513944
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.025,562.8255517
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.05,736.1904474
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.1,936.0690691
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.15,1070.926226
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.2,1178.10642
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.25,1270.057482
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.3,1352.632378
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.35,1429.150325
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.4,1501.758375
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.45,1572.007502
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.5,1641.142857
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.55,1710.278212
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.6,1780.527339
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.65,1853.135389
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.7,1929.653336
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.75,2012.228232
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.8,2104.179294
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.85,2211.359488
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.9,2346.216645
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.95,2546.095267
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.975,2719.460162
2025-02-26,ARI incidence,2025-02-23,1,BG,quantile,0.99,2921.03432
2025-02-26,ARI incidence,2025-03-02,2,BG,median,,1883.211244
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.01,363.3383879
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.025,602.7079744
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.05,808.5790243
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.1,1045.93516
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.15,1206.078218
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.2,1333.354844
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.25,1442.546856
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.3,1540.604657
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.35,1631.469824
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.4,1717.691982
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.45,1801.112917
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.5,1883.211244
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.55,1965.309572
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.6,2048.730507
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.65,2134.952665
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.7,2225.817831
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.75,2323.875633
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.8,2433.067645
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.85,2560.344271
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.9,2720.487329
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.95,2957.843464
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.975,3163.714514
2025-02-26,ARI incidence,2025-03-02,2,BG,quantile,0.99,3403.084101
2025-02-26,ARI incidence,2025-03-09,3,BG,median,,2018.865412
2025-02-26,ARI incidence,2025-03-09,3,BG,quantile,0.01,205.6819624
2025-02-26,ARI incidence,2025-03-09,3,BG,quantile,0.025,491.2459625
2025-02-26,ARI incidence,2025-03-09,3,BG,quantile,0.05,736.8467565
2025-02-26,ARI incidence,2025-03-09,3,BG,quantile,0.1,1020.008743
2025-02-26,ARI incidence,2025-03-09,3,BG,quantile,0.15,1211.056791
