target,location,truth_date,year_week,value,data_source
ARI incidence,BE,2025-06-22,2025-W25,366.4,ERVISS
ARI incidence,BE,2025-06-15,2025-W24,402.9,ERVISS
ARI incidence,BE,2025-06-08,2025-W23,551.6,ERVISS
ARI incidence,BE,2025-06-01,2025-W22,454.0,ERVISS
ARI incidence,BE,2025-05-25,2025-W21,589.5,ERVISS
ARI incidence,BE,2025-05-18,2025-W20,566.1,ERVISS
ARI incidence,BE,2025-05-11,2025-W19,565.1,ERVISS
ARI incidence,BE,2025-05-04,2025-W18,457.2,ERVISS
ARI incidence,BE,2025-04-27,2025-W17,585.5,ERVISS
ARI incidence,BE,2025-04-20,2025-W16,649.4,ERVISS
ARI incidence,BE,2025-04-13,2025-W15,692.2,ERVISS
ARI incidence,BE,2025-04-06,2025-W14,619.4,ERVISS
ARI incidence,BE,2025-03-30,2025-W13,675.4,ERVISS
ARI incidence,BE,2025-03-23,2025-W12,793.4,ERVISS
ARI incidence,BE,2025-03-16,2025-W11,633.7,ERVISS
ARI incidence,BE,2025-03-09,2025-W10,675.0,ERVISS
ARI incidence,BE,2025-03-02,2025-W09,923.1,ERVISS
ARI incidence,BE,2025-02-23,2025-W08,1057.7,ERVISS
ARI incidence,BE,2025-02-16,2025-W07,1045.8,ERVISS
ARI incidence,BE,2025-02-09,2025-W06,1120.4,ERVISS
ARI incidence,BE,2025-02-02,2025-W05,1227.8,ERVISS
ARI incidence,BE,2025-01-26,2025-W04,1299.5,ERVISS
ARI incidence,BE,2025-01-19,2025-W03,1210.8,ERVISS
ARI incidence,BE,2025-01-12,2025-W02,932.5,ERVISS
ARI incidence,BE,2025-01-05,2025-W01,642.7,ERVISS
ARI incidence,BE,2024-12-29,2024-W52,727.7,ERVISS
ARI incidence,BE,2024-12-22,2024-W51,944.4,ERVISS
ARI incidence,BE,2024-12-15,2024-W50,1223.4,ERVISS
ARI incidence,BE,2024-12-08,2024-W49,996.8,ERVISS
ARI incidence,BE,2024-12-01,2024-W48,1200.0,ERVISS
ARI incidence,BE,2024-11-24,2024-W47,1013.0,ERVISS
ARI incidence,BE,2024-11-17,2024-W46,796.6,ERVISS
ARI incidence,BE,2024-11-10,2024-W45,932.3,ERVISS
ARI incidence,BE,2024-11-03,2024-W44,523.9,ERVISS
ARI incidence,BE,2024-10-27,2024-W43,807.2,ERVISS
ARI incidence,BE,2024-10-20,2024-W42,1007.6,ERVISS
ARI incidence,BE,2024-10-13,2024-W41,1159.5,ERVISS
ARI incidence,BE,2024-10-06,2024-W40,998.2,ERVISS
ARI incidence,BE,2024-09-29,2024-W39,1027.1,ERVISS
ARI incidence,BE,2024-09-22,2024-W38,805.6,ERVISS
ARI incidence,BE,2024-09-15,2024-W37,768.8,ERVISS
ARI incidence,BE,2024-09-08,2024-W36,612.1,ERVISS
ARI incidence,BE,2024-09-01,2024-W35,374.3,ERVISS
ARI incidence,BE,2024-08-25,2024-W34,363.3,ERVISS
ARI incidence,BE,2024-08-18,2024-W33,274.1,ERVISS
ARI incidence,BE,2024-08-11,2024-W32,366.0,ERVISS
ARI incidence,BE,2024-08-04,2024-W31,323.4,ERVISS
ARI incidence,BE,2024-07-28,2024-W30,328.5,ERVISS
ARI incidence,BE,2024-07-21,2024-W29,461.4,ERVISS
ARI incidence,BE,2024-07-14,2024-W28,525.3,ERVISS
ARI incidence,BE,2024-07-07,2024-W27,540.1,ERVISS
ARI incidence,BE,2024-06-30,2024-W26,693.3,ERVISS
ARI incidence,BE,2024-06-23,2024-W25,789.7,ERVISS
ARI incidence,BE,2024-06-16,2024-W24,688.2,ERVISS
ARI incidence,BE,2024-06-09,2024-W23,709.7,ERVISS
ARI incidence,BE,2024-06-02,2024-W22,628.4,ERVISS
ARI incidence,BE,2024-05-26,2024-W21,724.1,ERVISS
ARI incidence,BE,2024-05-19,2024-W20,681.9,ERVISS
ARI incidence,BE,2024-05-12,2024-W19,639.2,ERVISS
ARI incidence,BE,2024-05-05,2024-W18,725.1,ERVISS
ARI incidence,BE,2024-04-28,2024-W17,764.4,ERVISS
ARI incidence,BE,2024-04-21,2024-W16,699.8,ERVISS
ARI incidence,BE,2024-04-14,2024-W15,749.3,ERVISS
ARI incidence,BE,2024-04-07,2024-W14,783.4,ERVISS
ARI incidence,BE,2024-03-31,2024-W13,985.1,ERVISS
ARI incidence,BE,2024-03-24,2024-W12,899.1,ERVISS
ARI incidence,BE,2024-03-17,2024-W11,864.7,ERVISS
ARI incidence,BE,2024-03-10,2024-W10,1003.6,ERVISS
ARI incidence,BE,2024-03-03,2024-W09,937.9,ERVISS
ARI incidence,BE,2024-02-25,2024-W08,1250.2,ERVISS
ARI incidence,BE,2024-02-18,2024-W07,1152.7,ERVISS
ARI incidence,BE,2024-02-11,2024-W06,1338.8,ERVISS
ARI incidence,BE,2024-02-04,2024-W05,1673.8,ERVISS
ARI incidence,BE,2024-01-28,2024-W04,1492.8,ERVISS
ARI incidence,BE,2024-01-21,2024-W03,1217.1,ERVISS
ARI incidence,BE,2024-01-14,2024-W02,1091.9,ERVISS
ARI incidence,BE,2024-01-07,2024-W01,1018.0,ERVISS
ARI incidence,BE,2023-12-31,2023-W52,1244.7,ERVISS
ARI incidence,BE,2023-12-24,2023-W51,1587.1,ERVISS
ARI incidence,BE,2023-12-17,2023-W50,1445.4,ERVISS
ARI incidence,BE,2023-12-10,2023-W49,1475.7,ERVISS
ARI incidence,BE,2023-12-03,2023-W48,1345.6,ERVISS
ARI incidence,BE,2023-11-26,2023-W47,1134.8,ERVISS
ARI incidence,BE,2023-11-19,2023-W46,1122.9,ERVISS
ARI incidence,BE,2023-11-12,2023-W45,1352.9,ERVISS
ARI incidence,BE,2023-11-05,2023-W44,916.1,ERVISS
ARI incidence,BE,2023-10-29,2023-W43,944.7,ERVISS
ARI incidence,BE,2023-10-22,2023-W42,1142.4,ERVISS
ARI incidence,BE,2023-10-15,2023-W41,1041.5,ERVISS
ARI incidence,BE,2023-10-08,2023-W40,1077.7,ERVISS
ARI incidence,BE,2023-10-01,2023-W39,1085.3,ERVISS
ARI incidence,BE,2023-09-24,2023-W38,898.7,ERVISS
ARI incidence,BE,2023-09-17,2023-W37,724.4,ERVISS
ARI incidence,BE,2023-09-10,2023-W36,743.9,ERVISS
ARI incidence,BE,2023-09-03,2023-W35,588.8,ERVISS
ARI incidence,BE,2023-08-27,2023-W34,487.3,ERVISS
ARI incidence,BE,2023-08-20,2023-W33,423.3,ERVISS
ARI incidence,BE,2023-08-13,2023-W32,454.8,ERVISS
ARI incidence,BE,2023-08-06,2023-W31,494.4,ERVISS
ARI incidence,BE,2023-07-30,2023-W30,449.7,ERVISS
ARI incidence,BE,2023-07-23,2023-W29,382.0,ERVISS
ARI incidence,BE,2023-07-16,2023-W28,502.7,ERVISS
ARI incidence,BE,2023-07-09,2023-W27,464.9,ERVISS
ARI incidence,BE,2023-07-02,2023-W26,497.8,ERVISS
ARI incidence,BE,2023-06-25,2023-W25,476.1,ERVISS
ARI incidence,BE,2023-06-18,2023-W24,537.6,ERVISS
ARI incidence,BE,2023-06-11,2023-W23,648.4,ERVISS
ARI incidence,BE,2023-06-04,2023-W22,548.0,ERVISS
ARI incidence,BE,2023-05-28,2023-W21,783.0,ERVISS
ARI incidence,BE,2023-05-21,2023-W20,591.5,ERVISS
ARI incidence,BE,2023-05-14,2023-W19,718.6,ERVISS
ARI incidence,BE,2023-05-07,2023-W18,642.0,ERVISS
ARI incidence,BE,2023-04-30,2023-W17,692.4,ERVISS
ARI incidence,BE,2023-04-23,2023-W16,860.3,ERVISS
ARI incidence,BE,2023-04-16,2023-W15,642.0,ERVISS
ARI incidence,BE,2023-04-09,2023-W14,680.7,ERVISS
ARI incidence,BE,2023-04-02,2023-W13,954.5,ERVISS
ARI incidence,BE,2023-03-26,2023-W12,1052.9,ERVISS
ARI incidence,BE,2023-03-19,2023-W11,1484.8,ERVISS
ARI incidence,BE,2023-03-12,2023-W10,1286.6,ERVISS
ARI incidence,BE,2023-03-05,2023-W09,1350.7,ERVISS
ARI incidence,BE,2023-02-26,2023-W08,1062.1,ERVISS
ARI incidence,BE,2023-02-19,2023-W07,1364.0,ERVISS
ARI incidence,BE,2023-02-12,2023-W06,1298.1,ERVISS
ARI incidence,BE,2023-02-05,2023-W05,1338.4,ERVISS
ARI incidence,BE,2023-01-29,2023-W04,1207.0,ERVISS
ARI incidence,BE,2023-01-22,2023-W03,1156.6,ERVISS
ARI incidence,BE,2023-01-15,2023-W02,1242.0,ERVISS
ARI incidence,BE,2023-01-08,2023-W01,1319.3,ERVISS
ARI incidence,BE,2023-01-01,2022-W52,1712.6,ERVISS
ARI incidence,BE,2022-12-25,2022-W51,1929.4,ERVISS
ARI incidence,BE,2022-12-18,2022-W50,2048.0,ERVISS
ARI incidence,BE,2022-12-11,2022-W49,1988.0,ERVISS
ARI incidence,BE,2022-12-04,2022-W48,1682.3,ERVISS
ARI incidence,BE,2022-11-27,2022-W47,1612.3,ERVISS
ARI incidence,BE,2022-11-20,2022-W46,1116.2,ERVISS
ARI incidence,BE,2022-11-13,2022-W45,905.4,ERVISS
ARI incidence,BE,2022-11-06,2022-W44,798.7,ERVISS
ARI incidence,BE,2022-10-30,2022-W43,947.8,ERVISS
ARI incidence,BE,2022-10-23,2022-W42,1113.0,ERVISS
ARI incidence,BE,2022-10-16,2022-W41,1191.3,ERVISS
ARI incidence,BE,2022-10-09,2022-W40,1148.9,ERVISS
ARI incidence,BE,2022-10-02,2022-W39,1141.1,ERVISS
ARI incidence,BE,2022-09-25,2022-W38,1111.6,ERVISS
ARI incidence,BE,2022-09-18,2022-W37,884.8,ERVISS
ARI incidence,BE,2022-09-11,2022-W36,377.0,ERVISS
ARI incidence,BE,2022-09-04,2022-W35,476.3,ERVISS
ARI incidence,BE,2022-08-28,2022-W34,377.9,ERVISS
ARI incidence,BE,2022-08-21,2022-W33,335.0,ERVISS
ARI incidence,BE,2022-08-14,2022-W32,371.8,ERVISS
ARI incidence,BE,2022-08-07,2022-W31,356.9,ERVISS
ARI incidence,BE,2022-07-31,2022-W30,521.5,ERVISS
ARI incidence,BE,2022-07-24,2022-W29,429.0,ERVISS
ARI incidence,BE,2022-07-17,2022-W28,803.7,ERVISS
ARI incidence,BE,2022-07-10,2022-W27,975.4,ERVISS
ARI incidence,BE,2022-07-03,2022-W26,797.9,ERVISS
ARI incidence,BE,2022-06-26,2022-W25,760.8,ERVISS
ARI incidence,BE,2022-06-19,2022-W24,824.2,ERVISS
ARI incidence,BE,2022-06-12,2022-W23,709.4,ERVISS
ARI incidence,BE,2022-06-05,2022-W22,854.5,ERVISS
ARI incidence,BE,2022-05-29,2022-W21,620.2,ERVISS
